id,nazwa,dlugosc,szerokosc
1225,Zajezdnia Ślepowron,21.05820,51.39591
1226,Zajezdnia Wincentów,21.15753,51.45839
1232,Rożki,21.04696,51.33168
1233,Rożki I,21.03854,51.33605
1234,Rożki I,21.03904,51.33571
1236,Godowska / Wiejska (NŻ),21.15058,51.36853
1237,Wacyn / Osiowa,21.11438,51.41492
1242,Wacyn / Uniwersytecka,21.11336,51.41290
1243,Uniwersytecka / Przytycka,21.10845,51.40914
1244,Uniwersytecka / Szpital,21.11130,51.41227
1245,Uniwersytecka / Szpital,21.11188,51.41220
1337,Małęczyn Stary / Pogodna (NŻ),21.26183,51.37613
1338,Małęczyn Stary / Pogodna (NŻ),21.26173,51.37598
1339,Małęczyn Stary / Leśna (NŻ),21.26980,51.37120
1340,Małęczyn Stary / Leśna (NŻ),21.26997,51.37135
1347,Brata Alberta / Ostrowiecka,21.15838,51.37399
1348,Brata Alberta / Ostrowiecka,21.15892,51.37366
1349,Kozienicka / Fołtyn,21.20710,51.41819
1350,Gołębiów / Fołtyn,21.20426,51.41884
1351,Gołębiów / Holszańskiej,21.18995,51.42281
1352,Kozienicka / Fołtyn,21.20561,51.41750
1353,Gołębiów / Fołtyn,21.20555,51.41829
1354,Fołtyn I (NŻ),21.19861,51.42093
1355,Fołtyn I (NŻ),21.20068,51.42009
1358,Kosowska / Stasieckiego,21.12009,51.39078
1359,Kosowska / Stasieckiego,21.12016,51.39116
1361,Młodzianowska / Brata Alberta,21.15584,51.37548
1362,Brata Alberta / Młodzianowska,21.15653,51.37481
1363,Młodzianowska / Brata Alberta,21.15587,51.37438
